,timestamp,value,degree
0,2020-09-18,4.738022973408896e+25,40989
1,2020-09-19,2.3703187467993792e+25,20931
2,2020-09-20,1.72974743645133e+25,13772
3,2020-09-21,1.447941758673655e+25,9828
4,2020-09-22,1.2174113917212545e+25,8329
5,2020-09-23,1.5185173944063975e+25,9893
6,2020-09-24,8.30676767295307e+24,7434
7,2020-09-25,6.484342313272305e+24,6644
8,2020-09-26,4.387200403363713e+24,4891
9,2020-09-27,3.695540842810855e+24,4504
10,2020-09-28,4.3039726231801537e+24,4791
11,2020-09-29,3.661392416089874e+24,4070
12,2020-09-30,3.809219774921902e+24,3889
13,2020-10-01,7.237339032865954e+24,4449
14,2020-10-02,4.427640372172782e+24,3867
15,2020-10-03,2.826283724385637e+24,3214
16,2020-10-04,3.56887406321516e+24,3371
17,2020-10-05,6.990492221792885e+24,4147
18,2020-10-06,8.901853110720692e+24,4515
19,2020-10-07,9.981270325096252e+24,4268
20,2020-10-08,5.949424638216497e+24,3738
21,2020-10-09,7.957790904249092e+24,3300
22,2020-10-10,3.5994513394118986e+24,2813
23,2020-10-11,2.913588703538089e+24,2640
24,2020-10-12,3.239991701124697e+24,2667
25,2020-10-13,2.0052404024512157e+24,2166
26,2020-10-14,3.2122836639930645e+24,2585
27,2020-10-15,3.188157711479935e+24,2417
28,2020-10-16,4.1725135135616417e+24,2814
29,2020-10-17,2.1539077443767229e+24,2210
30,2020-10-18,2.3156808375544985e+24,2558
31,2020-10-19,2.070783980074562e+24,6669
32,2020-10-20,2.718240918707913e+24,3649
33,2020-10-21,2.707900698547845e+24,2498
34,2020-10-22,2.3974662428056829e+24,2432
35,2020-10-23,2.804404776776306e+24,2016
36,2020-10-24,1.38771237024771e+24,1959
37,2020-10-25,2.2959747384424157e+24,2019
38,2020-10-26,2.55325042267093e+24,2186
39,2020-10-27,2.5475868170990093e+24,2160
40,2020-10-28,2.376285682223401e+24,2038
41,2020-10-29,2.15060506251138e+24,2163
42,2020-10-30,5.225119186878283e+24,2830
43,2020-10-31,2.4058792808167197e+24,2173
44,2020-11-01,2.504079008892631e+24,1945
45,2020-11-02,1.4332116436153858e+24,1544
46,2020-11-03,2.722385902677962e+24,1819
47,2020-11-04,3.104902440109293e+24,2012
48,2020-11-05,8.368995901048494e+24,3330
49,2020-11-06,6.638594035539154e+24,2559
50,2020-11-07,8.396771746145128e+24,2927
51,2020-11-08,3.2025057955022327e+24,1906
52,2020-11-09,3.036865658154648e+24,1603
53,2020-11-10,5.201276196044977e+24,2295
54,2020-11-11,3.629103907875332e+24,1843
55,2020-11-12,3.056126847025179e+24,1617
56,2020-11-13,7.599069353805844e+24,3386
57,2020-11-14,7.436704213844911e+24,3433
58,2020-11-15,6.603870045270496e+24,3896
59,2020-11-16,7.150209471979011e+24,3015
60,2020-11-17,5.697467090215799e+24,2829
61,2020-11-18,4.2900662150348467e+24,1933
